user,created,device,phone_country,language,is_premium,has_been_premium,continent,country,region,city,postal_code
bd522e0f06366632bd64243ecbf521069b02bcf26bd3f5eeda4bd32c5bd0f3bd,2018-01-28 19:02:27 UTC,iOS,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,Chambery,
d6c013c5b1fff805ca23c100b68f5563db1e27adb3022ef4ee354df5eacd1860,2018-04-28 14:43:51 UTC,iOS,fr,fr,false,false,Europe,France,Hauts-de-France,Seclin,49450
ca6215fde99881c5786a2dbcef1acd3e9e010e03907662e8b885e485348edc2c,2020-04-13 16:40:02 UTC,iOS,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,Annecy,
80b0f14d0befe365fcbd6a3c7f902834410f2099af1269a6d1868bf10511bfbd,2018-04-16 11:43:09 UTC,Android,fr,fr,false,false,Europe,France,Ile-de-France,Paris,.
4beeff009ddcb78fe853155e412d53a2c8ef9d5275251c7119ce81971d910997,2019-03-01 11:27:54 UTC,iOS,fr,fr,false,false,Europe,France,Ile-de-France,Paris,14000
6e5aebda642f4f0160e4db500fe2523f47f3e668689d20a71ca4aa1e9ee832ee,2019-09-01 18:03:40 UTC,Android,fr,fr,false,false,,,,,
5885d9e6335ba375c789b215d0e490c950ddf580a5e8a4420095bf7d39728ea5,2018-05-19 06:37:49 UTC,iOS,fr,fr,false,false,Europe,France,Grand Est,Metz,
1eb473ba31b63170fff308f4956dfea4692c0dc62258f92941cec607c6f00941,2021-09-14 10:46:37 UTC,iOS,fr,fr,false,false,Europe,France,Centre-Val de Loire,(not set),
e0be0148797d6589f223c10a785a13596e1def245dc08f3986e481ab4ceecf20,2018-12-24 17:52:29 UTC,iOS,fr,fr,false,false,Europe,France,Ile-de-France,Paris,
4af1d5871adec3eec28a2a21e5c1a289042415201bad85f1818a7229a809358d,2018-09-18 20:39:02 UTC,iOS,fr,fr,false,false,Europe,France,,,
1829d31e1aad8ceb713b3f66b6fda7c832be8ab089d24aa5f6ce505f7c7c5f78,2021-04-30 18:25:50 UTC,Android,it,it,false,false,Europe,Italy,Abruzzo,Lanciano,
067cb6303c4ad7f1969a61edf5ab243238c086a1243feab132c886dd8a384e58,2021-11-09 22:32:50 UTC,Android,es,es,false,false,Europe,Spain,Catalonia,Barcelona,
a59010627a34fcfbbdc3e80f0deb90e50a628b859e84a362b3eb49ea16e35939,2019-11-19 19:34:55 UTC,Android,es,es,false,false,Europe,Spain,Extremadura,,.
8003b4ae4d657ebd799690ab6ad2bebdf36468a832fc772d6b0a62731914214e,2019-11-09 20:35:27 UTC,Android,es,es,false,false,Europe,Spain,Catalonia,Barcelona,.
d6818ba2c4915d7baf1ab51666330287ac826471e1e171fd83c3b7253f952780,2017-12-28 21:22:22 UTC,Android,ch,fr,false,false,Europe,Switzerland,Zurich,Zurich,
